name,phone,address,website,rating,user_ratings_total
Gözde Emlak,(0216) 572 44 54,"İçerenköy Mahallesi Karslı Ahmet Cad, İçerenköy, Aydın Sk. Ün Apt No:30 Dükkan:A, 34752 Ataşehir/İstanbul, Türkiye",http://www.gozdeemlak.com/,4.8,70
Remax Beta Ataşehir Emlak Ofisi,(0216) 455 11 88,"Ata Blokları, Atatürk, Ataşehir Blv. 3/2, 34750 Ataşehir/İstanbul, Türkiye",https://www.remax.com.tr/beta,4.9,126
Aren Emlak | Gayrimenkul,0541 469 30 35,"İçerenköy Mahallesi,Başıbüyük caddesi Seyhan Sk.N:2/a, İçerenköy, 34752 Ataşehir/İstanbul, Türkiye",http://www.arenemlak.com/,4.9,86
Ataşehir Real Estate,0545 527 58 58,"İnönü, Kayışdağı Cd. No: 272/A, 34755 Ataşehir/İstanbul, Türkiye",,4.8,74
Hayri Nişancı - Gayrimenkul Danışmanı - Remax City,0532 425 55 47,"Küçükbakkalköy mah. Ozan Veysel Sk. N:11 Kat:1, Küçükbakkalköy, D:2, 34750 Ataşehir/İstanbul, Türkiye",https://www.remax.com.tr/gayrimenkul-danisman-girisimci/e953/Hayri-Nisanci,5,64
Profesyonel Gayrimenkul City,0505 237 79 01,"Küçükbakkalköy, Hasanpaşa Sk. No:12, 34750 Ataşehir/İstanbul, Türkiye",https://www.gayrimenkul.city/,5,21
Nova Emlak & Gayrimenkul,0553 453 89 91,"İçerenköy, Akça Sk. no: 7/B, 34750 Ataşehir/İstanbul, Türkiye",,4.8,17
Metropolist Gayrimenkul,0536 494 26 91,"Atatürk Mahallesi, Metropol İstanbul A BLOK, KAT 18, Atatürk, No:299, 34750 Ataşehir/İstanbul, Türkiye",https://metropolistgayrimenkul.sahibinden.com/,4.9,39
RE/MAX CENTRIUM - ATAŞEHİR,(0216) 606 44 33,"İçerenköy, Merkez Cami Sk. No: 9, 34752 Ataşehir/İstanbul, Türkiye",https://remaxcentrium.com/,4.9,149
Ata Emlak,0532 644 30 40,"Atatürk, Ataşehir Blv. GARDENYA 3 SİTESİ 44 ADA D:5. BLOK, D:7, 34758 Ataşehir/İstanbul, Türkiye",http://www.ataemlak.com/,5,11
Özkan Gün Remax Gayrimenkul Danışmanı,0532 725 28 10,"Atatürk, Turgut Özal Blv. Gardenya 42/Ç Çarşısı No: 8/A Kat:1, 34758 Ataşehir/İstanbul, Türkiye",https://www.ozkangun.com/,5,16
Ataşehir Emlak,(0216) 455 00 40,"Atatürk, Ataşehir Blv. Gardenya 5 B Blok 63. Ada D:22 A D1, 34775 Ataşehir/İstanbul, Türkiye",,2.2,6
Ab Oryaş Gayrimenkul,(0216) 469 00 13,"İçerenköy Kayışdağı Caddesi, İçerenköy, Engin Sk. No:11 D:6, 34750 Ataşehir/İstanbul, Türkiye",,4.6,34
Remax City Küçükbakkalköy - Ataşehir,(0216) 310 54 54,"Küçükbakkalköy Mah. Ozan Veysel Sk N:11 Kat:1, Küçükbakkalköy, D:2, 34750 Ataşehir/İstanbul, Türkiye",https://www.instagram.com/remaxcityatasehir/,3.4,127
İce Gayrimenkul Ataşehir,(0216) 575 33 44,"İnönü, Kayışdağı Cd. No:150 D:3, 34755 Ataşehir/İstanbul, Türkiye",,5,2
Altınışık Gayrimenkul,(0216) 455 61 89,"Altinişik, Atatürk, Şengün Sk. No:3 Apt. D:53, 34758 Ataşehir/İstanbul, Türkiye",https://mehmetgfbmehmet.sahibinden.com/,4,1
REMAX Abc Batı Ataşehir Ofisi,(0216) 688 71 70,"Barbaros, Ihlamur Bv, 34746 Ataşehir/İstanbul, Türkiye",http://www.remaxabc.com/,4.9,61
PLATİN GAYRİMENKUL & İNŞAAT,(0216) 315 03 15,"Örnek, Fehmı Tokay Caddesı No:5 D:4, 34704 Ataşehir/İstanbul, Türkiye",,4.9,40
Expat Ataşehir Gayrimenkul ve Danışmanlık,(0216) 909 01 67,"Maritza Residence, Küçükbakkalköy, Dilek Sabancı Cd. No:34 Kat:1 Daire:8, 34750 Ataşehir/İstanbul, Türkiye",https://expatatasehir.sahibinden.com/,3.8,4
